x,y,z
225.879,154.786,189.509
226.662,153.28,189.535
227.457,151.744,189.562
228.25,150.167,189.59
229.049,148.551,189.618
229.86,146.897,189.649
230.687,145.206,189.682
231.532,143.476,189.717
232.395,141.709,189.753
233.276,139.904,189.792
234.177,138.061,189.833
235.096,136.181,189.874
236.033,134.263,189.918
236.988,132.308,189.963
237.962,130.317,190.011
238.954,128.293,190.06
239.965,126.237,190.114
240.994,124.162,190.17
242.045,122.083,190.226
243.13,120.015,190.286
244.263,117.967,190.348
245.45,115.942,190.411
246.696,113.945,190.474
248.003,111.976,190.538
249.372,110.038,190.603
250.803,108.133,190.67
252.3,106.269,190.739
253.861,104.452,190.804
255.487,102.691,190.863
257.179,100.999,190.92
258.938,99.3822,190.978
260.76,97.8424,191.031
262.642,96.385,191.083
264.584,95.0117,191.139
266.576,93.714,191.189
268.61,92.4807,191.223
270.682,91.3106,191.244
272.797,90.2103,191.269
274.949,89.1772,191.299
277.136,88.2083,191.328
279.358,87.3042,191.357
281.616,86.4662,191.387
283.909,85.6953,191.414
286.236,84.9897,191.435
288.602,84.3531,191.455
291.007,83.7872,191.479
293.446,83.2883,191.504
295.92,82.8564,191.53
298.428,82.491,191.559
300.973,82.1924,191.588
303.556,81.9622,191.617
306.18,81.7924,191.647
308.848,81.6693,191.676
311.562,81.5787,191.706
314.325,81.5065,191.736
317.144,81.4433,191.766
320.023,81.3845,191.796
322.966,81.3282,191.827
325.974,81.2733,191.858
329.043,81.2193,191.889
332.176,81.1662,191.922
335.371,81.1135,191.955
338.625,81.0609,191.989
341.914,81.0089,192.024
345.194,80.9577,192.057
348.487,80.9064,192.093
351.861,80.854,192.131
355.308,80.8007,192.17
358.808,80.7464,192.208
362.36,80.6916,192.249
365.96,80.6364,192.293
369.608,80.581,192.338
373.304,80.5253,192.383
377.048,80.4695,192.43
380.84,80.4138,192.481
384.679,80.3581,192.533
388.564,80.3024,192.585
392.496,80.2468,192.639
396.474,80.1912,192.696
400.497,80.1358,192.752
404.566,80.0807,192.808
408.656,80.026,192.867
412.733,79.9715,192.929
416.796,79.9169,192.989
420.866,79.862,193.048
424.956,79.8076,193.115
429.075,79.7535,193.186
433.23,79.6992,193.259
437.419,79.6441,193.33
441.645,79.5876,193.402
445.905,79.5296,193.474
450.2,79.4699,193.546
454.53,79.4087,193.623
458.86,79.3464,193.697
463.11,79.2847,193.768
467.238,79.2254,193.84
471.241,79.1692,193.913
475.12,79.1167,193.984
478.876,79.0692,194.052
482.508,79.0303,194.12
486.02,79.0031,194.187
489.409,78.9892,194.253
492.675,78.9899,194.321
495.81,79.0028,194.391
498.804,79.0249,194.463
501.661,79.0577,194.534
504.39,79.1046,194.605
507.0,79.1649,194.676
509.489,79.2369,194.748
511.858,79.3259,194.821
514.106,79.4355,194.892
516.25,79.5849,194.962
518.328,79.8103,195.03
520.364,80.1309,195.096
522.358,80.5461,195.153
524.319,81.0608,195.205
526.254,81.6753,195.253
528.169,82.3888,195.301
530.072,83.1891,195.344
531.966,84.0682,195.384
533.856,85.0225,195.423
535.738,86.0518,195.463
537.603,87.1621,195.504
539.444,88.3585,195.542
541.254,89.6434,195.577
543.027,91.0209,195.612
544.763,92.4859,195.646
546.464,94.0326,195.677
548.13,95.6549,195.705
549.754,97.3571,195.736
551.332,99.1334,195.761
552.854,100.987,195.778
554.307,102.917,195.783
555.68,104.925,195.777
556.963,107.015,195.767
558.15,109.18,195.754
559.237,111.423,195.745
560.228,113.733,195.737
561.132,116.101,195.726
561.953,118.519,195.709
562.684,120.986,195.69
563.315,123.498,195.667
563.839,126.052,195.641
564.255,128.642,195.61
564.555,131.264,195.575
564.734,133.914,195.54
564.788,136.587,195.509
564.72,139.278,195.483
564.536,141.98,195.46
564.244,144.666,195.437
563.848,147.328,195.41
563.361,150.022,195.38
562.759,152.743,195.344
562.024,155.444,195.301
561.156,158.105,195.253
560.153,160.715,195.203
559.017,163.261,195.154
557.755,165.725,195.107
556.387,168.098,195.059
554.943,170.393,195.007
553.426,172.608,194.949
551.854,174.756,194.886
550.247,176.855,194.824
548.583,178.884,194.761
546.848,180.816,194.692
545.037,182.635,194.618
543.155,184.337,194.539
541.204,185.917,194.458
539.186,187.376,194.378
537.096,188.714,194.301
534.937,189.929,194.227
532.717,191.039,194.156
530.457,192.094,194.091
528.18,193.145,194.037
525.898,194.216,193.99
523.608,195.302,193.948
521.303,196.39,193.911
518.976,197.48,193.873
516.62,198.571,193.833
514.228,199.659,193.794
511.793,200.719,193.753
509.307,201.726,193.71
506.771,202.664,193.669
504.19,203.533,193.625
501.566,204.348,193.576
498.9,205.125,193.524
496.19,205.865,193.466
493.435,206.563,193.402
490.63,207.212,193.333
487.774,207.819,193.261
484.865,208.389,193.187
481.902,208.939,193.114
478.886,209.475,193.042
475.815,209.993,192.972
472.691,210.493,192.902
469.513,210.976,192.833
466.282,211.447,192.763
462.998,211.91,192.693
459.661,212.364,192.625
456.27,212.796,192.558
452.826,213.197,192.494
449.328,213.567,192.431
445.777,213.902,192.367
442.173,214.199,192.3
438.518,214.46,192.234
434.81,214.688,192.168
431.05,214.891,192.106
427.24,215.073,192.049
423.38,215.223,191.998
419.472,215.339,191.95
415.516,215.418,191.907
411.512,215.469,191.866
407.459,215.5,191.83
403.361,215.519,191.795
399.224,215.532,191.759
395.075,215.539,191.728
390.931,215.545,191.697
386.798,215.551,191.665
382.661,215.556,191.634
378.516,215.562,191.607
374.354,215.567,191.578
370.16,215.573,191.549
365.928,215.577,191.521
361.66,215.582,191.494
357.355,215.586,191.465
353.014,215.589,191.437
348.636,215.592,191.408
344.223,215.594,191.381
339.773,215.596,191.352
335.287,215.595,191.325
330.765,215.59,191.299
326.208,215.58,191.272
321.616,215.566,191.246
316.988,215.549,191.222
312.325,215.529,191.199
307.628,215.508,191.177
302.896,215.487,191.154
298.131,215.464,191.131
293.331,215.44,191.107
288.497,215.416,191.083
283.63,215.391,191.061
278.73,215.365,191.034
273.798,215.339,191.001
268.831,215.312,190.973
263.832,215.284,190.945
258.801,215.255,190.915
253.738,215.225,190.885
248.643,215.194,190.854
243.516,215.162,190.822
238.358,215.129,190.791
233.169,215.096,190.758
227.95,215.063,190.725
222.7,215.031,190.692
217.433,215.001,190.658
212.188,214.972,190.623
206.976,214.945,190.59
201.8,214.931,190.556
196.657,214.938,190.521
191.547,214.968,190.485
186.471,215.018,190.449
181.428,215.08,190.413
176.418,215.145,190.376
171.439,215.214,190.339
166.492,215.291,190.304
161.576,215.386,190.267
156.694,215.503,190.227
151.855,215.64,190.184
147.076,215.794,190.138
142.361,215.965,190.082
